litholog_id,strike_pos_m,depth_m,facies_code,facies_name,gamma_ray
litholog1,0.0,0.0,1,mud,112.48357076505616
litholog1,0.0,1.0,1,mud,109.30867849414408
litholog1,0.0,2.0,1,mud,113.23844269050346
litholog1,0.0,3.0,1,mud,117.61514928204012
litholog1,0.0,4.0,1,mud,108.82923312638331
litholog1,0.0,5.0,2,coal,18.8293152152541
litholog1,0.0,6.0,1,mud,117.89606407753696
litholog1,0.0,7.0,1,mud,113.83717364576455
litholog1,0.0,8.0,1,mud,107.65262807032524
litholog1,0.0,9.0,2,coal,22.712800217929825
litholog1,0.0,10.0,1,mud,107.68291153593769
litholog1,0.0,11.0,1,mud,107.67135123214871
litholog1,0.0,12.0,2,coal,21.20981135783017
litholog1,0.0,13.0,2,coal,10.43359877671101
litholog1,0.0,14.0,1,mud,101.37541083743484
litholog1,0.0,15.0,1,mud,107.18856235379513
litholog1,0.0,16.0,1,mud,104.93584439832789
litholog1,0.0,17.0,2,coal,21.571236662976368
litholog1,0.0,18.0,2,coal,15.459879622393945
litholog1,0.0,19.0,0,sand,27.938481493323543
litholog1,0.0,20.0,0,sand,42.32824384460777
litholog1,0.0,21.0,1,mud,108.87111849756732
litholog1,0.0,22.0,1,mud,110.33764102343962
litholog1,0.0,23.0,1,mud,102.87625906893271
litholog1,0.0,24.0,1,mud,107.27808637737408
litholog1,0.0,25.0,1,mud,110.55461294854933
litholog1,0.0,26.0,1,mud,104.24503211288848
litholog1,0.0,27.0,1,mud,111.87849009172837
litholog1,0.0,28.0,1,mud,106.99680655040598
litholog1,0.0,29.0,1,mud,108.54153125103362
litholog1,0.0,30.0,1,mud,106.99146693885301
litholog1,0.0,31.0,1,mud,119.26139092254469
litholog1,0.0,32.0,1,mud,109.93251387631032
litholog1,0.0,33.0,1,mud,104.71144535522049
litholog1,0.0,34.0,1,mud,114.11272456051594
litholog1,0.0,35.0,1,mud,103.89578175014489
litholog1,0.0,36.0,1,mud,111.04431797502377
litholog1,0.0,37.0,1,mud,100.20164938060113
litholog1,0.0,38.0,3,carbon_mud,88.35906975550785
litholog1,0.0,39.0,3,carbon_mud,95.98430617934562
litholog1,0.0,40.0,0,sand,38.69233289997705
litholog1,0.0,41.0,0,sand,35.85684140594985
litholog1,0.0,42.0,0,sand,34.4217585880588
litholog1,0.0,43.0,0,sand,33.494481522053555
